File created on 12/04/2012 at 16:22:38

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 2.1.1 (Build 001)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +00077.52986 -06231.77538 +00000.00 
020 000000.00 +00077.50417 -06231.77943 +00000.00 
020 000000.00 +00077.49515 -06231.77596 +00000.00 
020 000000.00 +00077.48788 -06231.77173 +00000.00 
020 000000.00 +00077.48214 -06231.76481 +00000.00 
020 000000.00 +00077.47961 -06231.75722 +00000.00 
020 000000.00 +00077.47585 -06231.74359 +00000.00 
020 000000.00 +00077.47521 -06231.73232 +00000.00 
020 000000.00 +00077.47677 -06231.72220 +00000.00 
020 000000.00 +00077.47881 -06231.70993 +00000.00 
020 000000.00 +00077.48106 -06231.69495 +00000.00 
020 000000.00 +00077.48392 -06231.68081 +00000.00 
020 000000.00 +00077.48534 -06231.66323 +00000.00 
020 000000.00 +00077.48748 -06231.63841 +00000.00 
020 000000.00 +00077.48962 -06231.61477 +00000.00 
020 000000.00 +00077.49203 -06231.59111 +00000.00 
020 000000.00 +00077.49327 -06231.56902 +00000.00 
020 000000.00 +00077.49412 -06231.54831 +00000.00 
020 000000.00 +00077.49960 -06231.52747 +00000.00 
020 000000.00 +00077.50524 -06231.51186 +00000.00 
020 000000.00 +00077.51282 -06231.49724 +00000.00 
020 000000.00 +00077.52713 -06231.47242 +00000.00 
020 000000.00 +00077.55382 -06231.42877 +00000.00 
020 000000.00 +00077.59271 -06231.36651 +00000.00 
020 000000.00 +00077.59515 -06231.36004 +00000.00 
020 000000.00 +00077.59471 -06231.35482 +00000.00 
020 000000.00 +00077.59292 -06231.34949 +00000.00 
020 000000.00 +00077.58690 -06231.34179 +00000.00 
020 000000.00 +00077.57912 -06231.33662 +00000.00 
020 000000.00 +00077.52943 -06231.30794 +00000.00 
020 000000.00 +00077.50921 -06231.29707 +00000.00 
020 000000.00 +00077.50040 -06231.29305 +00000.00 
020 000000.00 +00077.49960 -06231.29030 +00000.00 
020 000000.00 +00077.50192 -06231.28723 +00000.00 
020 000000.00 +00077.50752 -06231.28139 +00000.00 
020 000000.00 +00077.53562 -06231.25682 +00000.00 
020 000000.00 +00077.54631 -06231.24624 +00000.00 
020 000000.00 +00077.55384 -06231.23720 +00000.00 
020 000000.00 +00077.55962 -06231.22997 +00000.00 
020 000000.00 +00077.56334 -06231.22308 +00000.00 
020 000000.00 +00077.56418 -06231.21599 +00000.00 
020 000000.00 +00077.56367 -06231.20940 +00000.00 
020 000000.00 +00077.56069 -06231.20215 +00000.00 
020 000000.00 +00077.55605 -06231.19754 +00000.00 
020 000000.00 +00077.55160 -06231.19385 +00000.00 
020 000000.00 +00077.54674 -06231.18983 +00000.00 
020 000000.00 +00077.54184 -06231.18737 +00000.00 
020 000000.00 +00077.49526 -06231.16054 +00000.00 
020 000000.00 +00077.46890 -06231.14622 +00000.00 
020 000000.00 +00077.44111 -06231.13102 +00000.00 
020 000000.00 +00077.38073 -06231.09722 +00000.00 
020 000000.00 +00077.36902 -06231.09111 +00000.00 
020 000000.00 +00077.36163 -06231.08899 +00000.00 
020 000000.00 +00077.35321 -06231.08774 +00000.00 
020 000000.00 +00077.34262 -06231.08909 +00000.00 
020 000000.00 +00077.33471 -06231.09694 +00000.00 
020 000000.00 +00077.32889 -06231.10592 +00000.00 
020 000000.00 +00077.32511 -06231.11314 +00000.00 
020 000000.00 +00077.32086 -06231.11966 +00000.00 
020 000000.00 +00077.31673 -06231.12428 +00000.00 
020 000000.00 +00077.30935 -06231.12901 +00000.00 
020 000000.00 +00077.30313 -06231.13094 +00000.00 
020 000000.00 +00077.29046 -06231.13570 +00000.00 
020 000000.00 +00077.28282 -06231.13660 +00000.00 
020 000000.00 +00077.27584 -06231.13916 +00000.00 
020 000000.00 +00077.26573 -06231.14455 +00000.00 
020 000000.00 +00077.25839 -06231.15324 +00000.00 
020 000000.00 +00077.23570 -06231.18046 +00000.00 
020 000000.00 +00077.21921 -06231.19940 +00000.00 
020 000000.00 +00077.20357 -06231.21037 +00000.00 
020 000000.00 +00077.19279 -06231.21767 +00000.00 
020 000000.00 +00077.18974 -06231.22126 +00000.00 
020 000000.00 +00077.18982 -06231.22665 +00000.00 
020 000000.00 +00077.19327 -06231.23108 +00000.00 
020 000000.00 +00077.20164 -06231.23526 +00000.00 
020 000000.00 +00077.21292 -06231.23678 +00000.00 
020 000000.00 +00077.32485 -06231.25726 +00000.00 
020 000000.00 +00077.38522 -06231.26796 +00000.00 
020 000000.00 +00077.42078 -06231.27519 +00000.00 
020 000000.00 +00077.47464 -06231.29345 +00000.00 
020 000000.00 +00077.47992 -06231.28541 +00000.00 
020 000000.00 +00077.48409 -06231.28680 +00000.00 
020 000000.00 +00077.48672 -06231.28887 +00000.00 
020 000000.00 +00077.48826 -06231.29267 +00000.00 
020 000000.00 +00077.48831 -06231.29279 +00000.00 
020 000000.00 +00077.48869 -06231.29608 +00000.00 
020 000000.00 +00077.48880 -06231.29985 +00000.00 
020 000000.00 +00077.48761 -06231.30355 +00000.00 
020 000000.00 +00077.48461 -06231.30692 +00000.00 
020 000000.00 +00077.48033 -06231.31213 +00000.00 
020 000000.00 +00077.47128 -06231.32248 +00000.00 
020 000000.00 +00077.44902 -06231.34921 +00000.00 
020 000000.00 +00077.43029 -06231.37090 +00000.00 
020 000000.00 +00077.42535 -06231.37607 +00000.00 
020 000000.00 +00077.41642 -06231.38463 +00000.00 
020 000000.00 +00077.40896 -06231.39320 +00000.00 
020 000000.00 +00077.40375 -06231.40037 +00000.00 
020 000000.00 +00077.40106 -06231.40528 +00000.00 
020 000000.00 +00077.39937 -06231.41043 +00000.00 
020 000000.00 +00077.39645 -06231.41874 +00000.00 
020 000000.00 +00077.39423 -06231.42879 +00000.00 
020 000000.00 +00077.39344 -06231.43782 +00000.00 
020 000000.00 +00077.39241 -06231.45490 +00000.00 
020 000000.00 +00077.39225 -06231.45873 +00000.00 
020 000000.00 +00077.39220 -06231.46227 +00000.00 
020 000000.00 +00077.39165 -06231.46611 +00000.00 
020 000000.00 +00077.38999 -06231.46911 +00000.00 
020 000000.00 +00077.38676 -06231.47025 +00000.00 
020 000000.00 +00077.38344 -06231.47014 +00000.00 
020 000000.00 +00077.37992 -06231.46945 +00000.00 
020 000000.00 +00077.37463 -06231.46795 +00000.00 
020 000000.00 +00077.36889 -06231.46710 +00000.00 
020 000000.00 +00077.36128 -06231.46628 +00000.00 
020 000000.00 +00077.35493 -06231.46713 +00000.00 
020 000000.00 +00077.35077 -06231.46905 +00000.00 
020 000000.00 +00077.34619 -06231.47243 +00000.00 
020 000000.00 +00077.34246 -06231.47744 +00000.00 
020 000000.00 +00077.34016 -06231.48401 +00000.00 
020 000000.00 +00077.33978 -06231.48830 +00000.00 
020 000000.00 +00077.33925 -06231.49481 +00000.00 
020 000000.00 +00077.33787 -06231.52070 +00000.00 
020 000000.00 +00077.33414 -06231.56167 +00000.00 
020 000000.00 +00077.33309 -06231.57463 +00000.00 
020 000000.00 +00077.33275 -06231.57851 +00000.00 
020 000000.00 +00077.33315 -06231.58058 +00000.00 
020 000000.00 +00077.33433 -06231.58206 +00000.00 
020 000000.00 +00077.33688 -06231.58325 +00000.00 
020 000000.00 +00077.37049 -06231.59021 +00000.00 
020 000000.00 +00077.37381 -06231.59127 +00000.00 
020 000000.00 +00077.37728 -06231.59268 +00000.00 
020 000000.00 +00077.37827 -06231.59462 +00000.00 
020 000000.00 +00077.37877 -06231.59709 +00000.00 
020 000000.00 +00077.37893 -06231.60083 +00000.00 
020 000000.00 +00077.37754 -06231.61817 +00000.00 
020 000000.00 +00077.37603 -06231.65173 +00000.00 
