File created on 06/10/2010 at 11:41:52

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02640.14910 -00682.49460 +00310.49 
020 000000.00 +02640.15012 -00682.49514 +00310.54 
020 000000.00 +02640.15114 -00682.49568 +00310.58 
020 000000.00 +02640.15216 -00682.49622 +00310.61 
020 000000.00 +02640.15318 -00682.49676 +00310.61 
020 000000.00 +02640.15426 -00682.49730 +00310.61 
020 000000.00 +02640.15528 -00682.49784 +00310.61 
020 000000.00 +02640.15630 -00682.49838 +00310.59 
020 000000.00 +02640.15732 -00682.49892 +00310.56 
020 000000.00 +02640.15828 -00682.49946 +00310.54 
020 000000.00 +02640.15924 -00682.50000 +00310.52 
020 000000.00 +02640.16020 -00682.50048 +00310.50 
020 000000.00 +02640.16110 -00682.50096 +00310.47 
020 000000.00 +02640.16200 -00682.50150 +00310.44 
020 000000.00 +02640.16290 -00682.50198 +00310.41 
020 000000.00 +02640.16374 -00682.50246 +00310.41 
020 000000.00 +02640.16458 -00682.50288 +00310.40 
020 000000.00 +02640.16536 -00682.50336 +00310.38 
020 000000.00 +02640.16620 -00682.50384 +00310.39 
020 000000.00 +02640.16698 -00682.50426 +00310.40 
020 000000.00 +02640.16782 -00682.50474 +00310.44 
020 000000.00 +02640.16854 -00682.50522 +00310.44 
020 000000.00 +02640.16932 -00682.50564 +00310.45 
020 000000.00 +02640.17010 -00682.50618 +00310.44 
020 000000.00 +02640.17088 -00682.50660 +00310.42 
020 000000.00 +02640.17160 -00682.50714 +00310.41 
020 000000.00 +02640.17238 -00682.50762 +00310.40 
020 000000.00 +02640.17310 -00682.50810 +00310.42 
020 000000.00 +02640.17382 -00682.50858 +00310.45 
020 000000.00 +02640.17454 -00682.50912 +00310.45 
020 000000.00 +02640.17526 -00682.50966 +00310.43 
020 000000.00 +02640.17592 -00682.51020 +00310.42 
020 000000.00 +02640.17664 -00682.51074 +00310.44 
020 000000.00 +02640.17730 -00682.51128 +00310.52 
020 000000.00 +02640.17796 -00682.51182 +00310.59 
020 000000.00 +02640.17868 -00682.51236 +00310.66 
020 000000.00 +02640.17934 -00682.51296 +00310.72 
020 000000.00 +02640.17994 -00682.51356 +00310.80 
020 000000.00 +02640.18060 -00682.51422 +00310.86 
020 000000.00 +02640.18120 -00682.51488 +00310.92 
020 000000.00 +02640.18186 -00682.51548 +00310.98 
020 000000.00 +02640.18246 -00682.51620 +00311.07 
020 000000.00 +02640.18306 -00682.51686 +00311.12 
020 000000.00 +02640.18360 -00682.51758 +00311.12 
020 000000.00 +02640.18420 -00682.51836 +00311.13 
020 000000.00 +02640.18474 -00682.51914 +00311.14 
020 000000.00 +02640.18528 -00682.51992 +00311.19 
020 000000.00 +02640.18582 -00682.52076 +00311.28 
020 000000.00 +02640.18636 -00682.52160 +00311.37 
020 000000.00 +02640.18690 -00682.52244 +00311.45 
020 000000.00 +02640.18738 -00682.52334 +00311.55 
020 000000.00 +02640.18780 -00682.52424 +00311.63 
020 000000.00 +02640.18828 -00682.52514 +00311.70 
