File created on 20/04/2007 at 10:23:46

[header]
satellites
time
latitude
longitude
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.7.1 (Build 045)
Created from KML File

[column names]
sats time lat long YAW__ YAW_ 
[data]
020 000000.00 +03124.72686 +00060.99060 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72692 +00060.98940 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72698 +00060.98820 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72704 +00060.98700 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72716 +00060.98580 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72722 +00060.98460 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72728 +00060.98340 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72734 +00060.98220 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72740 +00060.98100 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72746 +00060.97980 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72752 +00060.97860 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72758 +00060.97740 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72764 +00060.97614 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72770 +00060.97494 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72776 +00060.97368 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72788 +00060.97248 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72788 +00060.97128 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72794 +00060.97002 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72806 +00060.96882 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72812 +00060.96756 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72818 +00060.96636 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72824 +00060.96510 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72830 +00060.96384 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72836 +00060.96264 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72842 +00060.96138 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72848 +00060.96012 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72854 +00060.95886 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72860 +00060.95766 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72866 +00060.95640 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72872 +00060.95514 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72878 +00060.95388 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72878 +00060.95262 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72884 +00060.95136 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72890 +00060.95004 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72896 +00060.94878 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72902 +00060.94752 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72914 +00060.94626 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72914 +00060.94500 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72920 +00060.94374 +0.00000E+00 +0.00000E+00 
