File created on 3/23/2011 at 2:28:02 PM

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02737.78637 -00557.80619 +00000.00 
020 000000.00 +02737.74566 -00557.81130 +00000.00 
020 000000.00 +02737.71900 -00557.81479 +00000.00 
020 000000.00 +02737.71625 -00557.81495 +00000.00 
020 000000.00 +02737.71393 -00557.81479 +00000.00 
020 000000.00 +02737.71162 -00557.81410 +00000.00 
020 000000.00 +02737.70917 -00557.81325 +00000.00 
020 000000.00 +02737.70703 -00557.81183 +00000.00 
020 000000.00 +02737.70503 -00557.81029 +00000.00 
020 000000.00 +02737.70279 -00557.80792 +00000.00 
020 000000.00 +02737.70082 -00557.80525 +00000.00 
020 000000.00 +02737.69915 -00557.80174 +00000.00 
020 000000.00 +02737.69758 -00557.79790 +00000.00 
020 000000.00 +02737.68734 -00557.77165 +00000.00 
020 000000.00 +02737.67105 -00557.72976 +00000.00 
020 000000.00 +02737.64483 -00557.66283 +00000.00 
020 000000.00 +02737.62371 -00557.61115 +00000.00 
020 000000.00 +02737.59981 -00557.55222 +00000.00 
020 000000.00 +02737.58664 -00557.52437 +00000.00 
020 000000.00 +02737.58503 -00557.52087 +00000.00 
020 000000.00 +02737.58169 -00557.51512 +00000.00 
020 000000.00 +02737.57294 -00557.50071 +00000.00 
020 000000.00 +02737.56394 -00557.48627 +00000.00 
020 000000.00 +02737.55196 -00557.46899 +00000.00 
020 000000.00 +02737.54043 -00557.45149 +00000.00 
020 000000.00 +02737.53810 -00557.44752 +00000.00 
020 000000.00 +02737.53379 -00557.44011 +00000.00 
020 000000.00 +02737.51823 -00557.41429 +00000.00 
020 000000.00 +02737.50503 -00557.39183 +00000.00 
020 000000.00 +02737.49494 -00557.37462 +00000.00 
020 000000.00 +02737.49274 -00557.37078 +00000.00 
020 000000.00 +02737.48821 -00557.36365 +00000.00 
020 000000.00 +02737.47066 -00557.33358 +00000.00 
020 000000.00 +02737.45303 -00557.30478 +00000.00 
