File created on 07/10/2010 at 16:53:22

[header]
satellites
time
latitude
longitude
height
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height YAW__ YAW_ 
[data]
020 000000.00 +03026.48976 -00358.02270 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48982 -00358.02324 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.48988 -00358.02384 +00445.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49000 -00358.02438 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49012 -00358.02498 +00445.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49024 -00358.02552 +00445.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49036 -00358.02606 +00445.44 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49054 -00358.02660 +00445.45 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49072 -00358.02714 +00445.47 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49090 -00358.02768 +00445.49 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49108 -00358.02822 +00445.51 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49132 -00358.02870 +00445.54 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49150 -00358.02924 +00445.56 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49174 -00358.02972 +00445.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49198 -00358.03020 +00445.61 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49222 -00358.03068 +00445.63 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49246 -00358.03116 +00445.65 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49270 -00358.03164 +00445.67 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49300 -00358.03212 +00445.69 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49330 -00358.03260 +00445.72 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49354 -00358.03302 +00445.82 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49384 -00358.03350 +00445.86 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49414 -00358.03392 +00445.89 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49450 -00358.03428 +00445.93 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49480 -00358.03470 +00445.95 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49516 -00358.03512 +00445.99 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49546 -00358.03548 +00446.01 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49582 -00358.03584 +00446.04 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49618 -00358.03614 +00446.08 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49654 -00358.03650 +00446.11 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49696 -00358.03680 +00446.14 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49732 -00358.03710 +00446.18 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49774 -00358.03734 +00446.21 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49810 -00358.03758 +00446.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49852 -00358.03782 +00446.27 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49894 -00358.03800 +00446.29 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49936 -00358.03818 +00446.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.49978 -00358.03836 +00446.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50020 -00358.03848 +00446.37 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50062 -00358.03860 +00446.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50110 -00358.03866 +00446.44 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50152 -00358.03872 +00446.47 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50200 -00358.03878 +00446.49 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50242 -00358.03878 +00446.52 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50284 -00358.03872 +00446.54 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50332 -00358.03866 +00446.56 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50374 -00358.03854 +00446.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50422 -00358.03842 +00446.61 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50464 -00358.03830 +00446.63 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50512 -00358.03812 +00446.66 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50554 -00358.03788 +00446.68 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50602 -00358.03764 +00446.70 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50644 -00358.03740 +00446.72 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50686 -00358.03710 +00446.75 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50728 -00358.03680 +00446.77 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50770 -00358.03650 +00446.80 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50812 -00358.03614 +00446.84 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50854 -00358.03578 +00446.86 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50896 -00358.03542 +00446.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50944 -00358.03506 +00446.89 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.50986 -00358.03470 +00446.93 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51028 -00358.03434 +00446.94 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51070 -00358.03392 +00446.97 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51118 -00358.03356 +00446.99 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51160 -00358.03314 +00447.02 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51202 -00358.03278 +00447.04 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51250 -00358.03242 +00447.05 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51298 -00358.03200 +00447.08 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51340 -00358.03158 +00447.11 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51388 -00358.03122 +00447.12 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51436 -00358.03080 +00447.15 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51484 -00358.03038 +00447.18 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51526 -00358.02996 +00447.21 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51574 -00358.02954 +00447.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51622 -00358.02912 +00447.26 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51670 -00358.02870 +00447.29 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51718 -00358.02828 +00447.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51766 -00358.02786 +00447.33 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51814 -00358.02738 +00447.36 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51862 -00358.02696 +00447.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51916 -00358.02654 +00447.41 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.51964 -00358.02606 +00447.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52012 -00358.02564 +00447.45 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52060 -00358.02516 +00447.49 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52114 -00358.02474 +00447.50 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52162 -00358.02426 +00447.53 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52216 -00358.02378 +00447.55 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52264 -00358.02330 +00447.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52318 -00358.02288 +00447.61 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52372 -00358.02240 +00447.64 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52420 -00358.02192 +00447.67 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52474 -00358.02144 +00447.71 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52528 -00358.02096 +00447.74 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52582 -00358.02048 +00447.77 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52636 -00358.02000 +00447.80 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52690 -00358.01952 +00447.84 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52744 -00358.01898 +00447.87 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52798 -00358.01850 +00447.90 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52852 -00358.01802 +00447.93 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52912 -00358.01754 +00447.97 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.52966 -00358.01700 +00448.00 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53020 -00358.01652 +00448.03 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53074 -00358.01604 +00448.07 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53134 -00358.01550 +00448.11 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53194 -00358.01502 +00448.15 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53248 -00358.01448 +00448.19 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53302 -00358.01400 +00448.21 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53362 -00358.01346 +00448.25 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53422 -00358.01298 +00448.28 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53482 -00358.01244 +00448.33 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53536 -00358.01190 +00448.37 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53596 -00358.01142 +00448.41 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53656 -00358.01088 +00448.45 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53716 -00358.01034 +00448.48 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53776 -00358.00980 +00448.53 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53836 -00358.00926 +00448.56 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53896 -00358.00872 +00448.60 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.53956 -00358.00818 +00448.63 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54016 -00358.00764 +00448.67 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54076 -00358.00710 +00448.71 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54136 -00358.00650 +00448.76 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54202 -00358.00596 +00448.79 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54262 -00358.00542 +00448.83 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54322 -00358.00488 +00448.87 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54388 -00358.00428 +00448.90 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54448 -00358.00374 +00448.93 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54514 -00358.00320 +00448.95 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54574 -00358.00260 +00448.99 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54634 -00358.00206 +00449.02 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54700 -00358.00146 +00449.05 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54766 -00358.00092 +00449.08 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54826 -00358.00038 +00449.11 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54892 -00357.99978 +00449.13 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.54952 -00357.99924 +00449.17 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55018 -00357.99864 +00449.18 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55084 -00357.99804 +00449.21 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55144 -00357.99750 +00449.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55210 -00357.99696 +00449.28 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55270 -00357.99636 +00449.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55336 -00357.99582 +00449.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55396 -00357.99528 +00449.42 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55456 -00357.99468 +00449.44 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55522 -00357.99414 +00449.48 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55588 -00357.99354 +00449.51 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55648 -00357.99300 +00449.50 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55708 -00357.99246 +00449.52 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55768 -00357.99192 +00449.54 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55834 -00357.99132 +00449.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55900 -00357.99078 +00449.61 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.55960 -00357.99024 +00449.66 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56020 -00357.98970 +00449.69 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56086 -00357.98916 +00449.72 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56146 -00357.98862 +00449.75 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56206 -00357.98808 +00449.77 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56266 -00357.98754 +00449.82 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56326 -00357.98700 +00449.85 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56392 -00357.98646 +00449.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56452 -00357.98592 +00449.92 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56512 -00357.98538 +00449.97 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56572 -00357.98484 +00450.00 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56632 -00357.98430 +00450.01 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56692 -00357.98376 +00450.04 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56752 -00357.98322 +00450.05 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56812 -00357.98268 +00450.06 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56866 -00357.98214 +00450.06 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56926 -00357.98160 +00450.08 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.56986 -00357.98112 +00450.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57040 -00357.98058 +00450.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57100 -00357.98004 +00450.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57160 -00357.97956 +00450.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57214 -00357.97902 +00450.08 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57268 -00357.97854 +00450.10 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57322 -00357.97806 +00450.12 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57376 -00357.97758 +00450.12 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57430 -00357.97710 +00450.16 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57484 -00357.97656 +00450.18 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57538 -00357.97608 +00450.22 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57598 -00357.97554 +00450.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57652 -00357.97506 +00450.28 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57706 -00357.97458 +00450.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57766 -00357.97404 +00450.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57820 -00357.97356 +00450.36 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57874 -00357.97302 +00450.37 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57928 -00357.97254 +00450.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.57988 -00357.97206 +00450.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58042 -00357.97158 +00450.40 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58096 -00357.97104 +00450.39 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58150 -00357.97056 +00450.40 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58192 -00357.97008 +00450.39 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58240 -00357.96966 +00450.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58288 -00357.96918 +00450.37 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58342 -00357.96870 +00450.35 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58390 -00357.96822 +00450.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58444 -00357.96774 +00450.32 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58492 -00357.96726 +00450.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58546 -00357.96672 +00450.29 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58600 -00357.96630 +00450.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58654 -00357.96576 +00450.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58708 -00357.96528 +00450.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58762 -00357.96480 +00450.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58816 -00357.96426 +00450.30 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58870 -00357.96378 +00450.32 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58930 -00357.96324 +00450.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.58984 -00357.96276 +00450.35 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59038 -00357.96222 +00450.38 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59098 -00357.96174 +00450.40 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59158 -00357.96120 +00450.43 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59212 -00357.96066 +00450.45 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59272 -00357.96018 +00450.49 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59332 -00357.95964 +00450.53 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59392 -00357.95910 +00450.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59446 -00357.95862 +00450.62 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59506 -00357.95808 +00450.69 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59566 -00357.95754 +00450.71 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59626 -00357.95700 +00450.78 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59686 -00357.95646 +00450.83 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59746 -00357.95598 +00450.88 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59806 -00357.95544 +00450.93 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59866 -00357.95490 +00450.98 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59926 -00357.95442 +00451.05 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.59986 -00357.95388 +00451.09 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60040 -00357.95334 +00451.15 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60100 -00357.95280 +00451.20 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60160 -00357.95232 +00451.24 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60220 -00357.95178 +00451.31 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60280 -00357.95124 +00451.34 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60334 -00357.95076 +00451.40 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60394 -00357.95022 +00451.46 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60454 -00357.94968 +00451.52 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60514 -00357.94920 +00451.58 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60568 -00357.94866 +00451.66 +0.00000E+00 +0.00000E+00 
020 000000.00 +03026.60628 -00357.94812 +00451.70 +0.00000E+00 +0.00000E+00 
